#SampleID	Treatment	Location	Sample	Group
GC-CE-9610-MedF-C1-2	Control	Medway	MedwayCon1	MedCon
GC-CE-9610-MedF-C2-2	Control	Medway	MedwayCon2	MedCon
GC-CE-9610-MedF-C3-2	Control	Medway	MedwayCon3	MedCon
GC-CE-9610-MedF-C4-2	Control	Medway	MedwayCon4	MedCon
GC-CE-9610-MedF-C5-2	Control	Medway	MedwayCon5	MedCon
GC-CE-9610-MedF-DMS1-2	DMS	Medway	MedwayDMS1	MedDMS
GC-CE-9610-MedF-DMS2-2	DMS	Medway	MedwayDMS2	MedDMS
GC-CE-9610-MedF-DMS3-2	DMS	Medway	MedwayDMS3	MedDMS
GC-CE-9610-MedF-DMS4-2	DMS	Medway	MedwayDMS4	MedDMS
GC-CE-9610-MedF-DMS5-2	DMS	Medway	MedwayDMS5	MedDMS
GC-CE-9610-MedF-Ori1-2	Original	Medway	MedwayOri1	MedOri
GC-CE-9610-MedF-Ori2-2	Original	Medway	MedwayOri2	MedOri
GC-CE-9610-MedF-Ori3-2	Original	Medway	MedwayOri3	MedOri
GC-CE-9610-Nadder-C1-2	Control	Nadder	NadderCon1	NadCon
GC-CE-9610-Nadder-C2-2	Control	Nadder	NadderCon2	NadCon
GC-CE-9610-Nadder-C3-2	Control	Nadder	NadderCon3	NadCon
GC-CE-9610-Nadder-C4-2	Control	Nadder	NadderCon4	NadCon
GC-CE-9610-Nadder-C5-2	Control	Nadder	NadderCon5	NadCon
GC-CE-9610-Nadder-Ori1-2	Original	Nadder	NadderOri1	NadOri
GC-CE-9610-Nadder-Ori2-2	Original	Nadder	NadderOri2	NadOri
GC-CE-9610-Nadder-Ori3-2	Original	Nadder	NadderOri3	NadOri
GC-CE-9610-Nadder-S1-2	DMS	Nadder	NadderDMS1	NadDMS
GC-CE-9610-Nadder-S2-2	DMS	Nadder	NadderDMS2	NadDMS
GC-CE-9610-Nadder-S3-2	DMS	Nadder	NadderDMS3	NadDMS
GC-CE-9610-Nadder-S4-2	DMS	Nadder	NadderDMS4	NadDMS
GC-CE-9610-Nadder-S5-2	DMS	Nadder	NadderDMS5	NadDMS
Pant-Con-2-mrcA-220519	Control	Pant	PantCon1	PanCon
Pant-Con-3-mrcA-220519	Control	Pant	PantCon2	PanCon
Pant-Con-4-mrcA-220519	Control	Pant	PantCon3	PanCon
Pant-Ori-1-mrcA-220519	Original	Pant	PantOri1	PanOri
Pant-Ori-2-mrcA-220519	Original	Pant	PantOri2	PanOri
Pant-Ori-3-mrcA-220519	Original	Pant	PantOri3	PanOri
Pant-Ori-4-mrcA-220519	Original	Pant	PantOri4	PanOri
Pant-Ori-5-mrcA-220519	Original	Pant	PantOri5	PanOri
Pant-Sam-1-mrcA-220519	DMS	Pant	PantDMS1	PanDMS
Pant-Sam-2-mrcA-220519	DMS	Pant	PantDMS2	PanDMS
Pant-Sam-3-mrcA-220519	DMS	Pant	PantDMS3	PanDMS
Pant-Sam-4-mrcA-220519	DMS	Pant	PantDMS4	PanDMS
Pant-Sam-5-mrcA-220519	DMS	Pant	PantDMS5	PanDMS
Rib-Con-3-mrcA-220519	Control	Rib	RibCon1	RibCon
Rib-Con-4-mrcA-220519	Control	Rib	RibCon2	RibCon
Rib-Con-5-mrcA-220519	Control	Rib	RibCon3	RibCon
Rib-Ori-1-mrcA-220519	Original	Rib	RibOri1	RibOri
Rib-Ori-2-mrcA-220519	Original	Rib	RibOri2	RibOri
Rib-Ori-3-mrcA-220519	Original	Rib	RibOri3	RibOri
Rib-Ori-4-mrcA-220519	Original	Rib	RibOri4	RibOri
Rib-Ori-5-mrcA-220519	Original	Rib	RibOri5	RibOri
Rib-Sam-1-mrcA-220519	DMS	Rib	RibDMS1	RibDMS
Rib-Sam-2-mrcA-220519	DMS	Rib	RibDMS2	RibDMS
Rib-Sam-3-mrcA-220519	DMS	Rib	RibDMS3	RibDMS
Rib-Sam-4-mrcA-220519	DMS	Rib	RibDMS4	RibDMS
Rib-Sam-5-mrcA-220519	DMS	Rib	RibDMS5	RibDMS